id,bin_pol,grad_pol,mf,a,b,resp,resp_m
980,liberal,Very Liberal,care,4.666666666666666,1.6666666666666663, 3 4 5 4 1 5,3.6666666666666665
980,liberal,Very Liberal,fairness,6.0,1.0, 5 4 5 5 4 4,4.5
980,liberal,Very Liberal,ingroup,3.3333333333333335,2.0, 4 4 3 3 3 0,2.8333333333333335
980,liberal,Very Liberal,authority,2.0,3.6666666666666665, 1 3 3 0 0 3,1.6666666666666667
980,liberal,Very Liberal,purity,1.6666666666666663,3.0, 1 2 3 3 1 2,2.0
1262,liberal,Liberal,care,3.333333333333333,2.0, 3 4 4 1 2 4,3.0
1262,liberal,Liberal,fairness,6.0,1.6666666666666663, 5 5 5 5 5 1,4.333333333333333
1262,liberal,Liberal,ingroup,1.0,4.333333333333333, 2 2 1 1 0 2,1.3333333333333333
1262,liberal,Liberal,authority,1.6666666666666663,4.333333333333333, 1 1 1 4 1 1,1.5
1262,liberal,Liberal,purity,1.0,6.666666666666666, 1 0 0 0 0 0,0.1666666666666666
1723,liberal,Slightly Liberal,care,2.6666666666666665,3.3333333333333335, 3 4 4 0 0 2,2.1666666666666665
1723,liberal,Slightly Liberal,fairness,3.666666666666667,1.3333333333333333, 5 3 4 2 3 3,3.3333333333333335
1723,liberal,Slightly Liberal,ingroup,4.0,2.0, 4 5 2 1 3 5,3.3333333333333335
1723,liberal,Slightly Liberal,authority,3.0,2.3333333333333335, 3 2 4 5 1 2,2.8333333333333335
1723,liberal,Slightly Liberal,purity,3.333333333333333,2.333333333333333, 2 3 0 4 4 4,2.8333333333333335
1888,liberal,Slightly Liberal,care,2.333333333333333,3.0, 3 3 3 0 0 3,2.0
1888,liberal,Slightly Liberal,fairness,4.0,2.333333333333333, 5 4 5 2 3 0,3.1666666666666665
1888,liberal,Slightly Liberal,ingroup,3.3333333333333335,2.6666666666666665, 2 5 1 1 3 5,2.8333333333333335
